ASV_ID	10m_0_mV	10m_200_mV	10m_400_mV	10m_600_mV	10m_800_mV	10m_Cont	20_5m_0_mV	20_5m_200_mV	20_5m_400_mV	20_5m_600_mV	20_5m_800_mV	20_5m_Cont	35m_0_mV	35m_200_mV	35m_400_mV	35m_600_mV	35m_Cont
ASV33	0	0	0	0	0	0	282	469	1121	356	299	345	12341	15487	12921	1283	3695
ASV34	0	0	0	0	0	0	2933	5838	7388	3840	3043	3773	17512	0	3722	0	6543
ASV35	1230	749	341	618	332	249	1150	1485	2034	1506	918	5116	0	11629	4972	2156	1895
ASV36	160	71	110	135	51	106	36736	0	0	0	0	0	0	0	0	0	0
ASV37	0	0	0	0	0	0	1840	4577	8972	10215	11159	5957	6077	0	465	28	576
ASV38	28	12	0	0	0	0	0	1027	5943	16827	22012	207	0	0	1009	0	0
ASV39	1587	1041	2631	14851	11610	423	383	0	309	454	349	811	0	0	504	0	841
ASV40	0	0	0	0	0	0	126	74	0	0	51	147	30513	1272	5064	1551	1856
ASV41	0	0	0	0	0	0	801	2173	8952	14176	14601	3896	0	0	0	0	0
ASV42	0	0	0	0	0	0	3743	5878	11268	7024	7876	5854	0	0	1240	0	285
ASV43	1901	3095	6149	5228	7275	864	312	177	215	166	237	0	0	3324	122	0	1585
ASV44	0	0	0	0	0	0	3811	12069	4726	5600	1328	10211	0	0	0	0	0
ASV45	0	0	0	0	0	0	999	636	825	846	483	673	3356	0	6755	1450	8869
ASV46	5638	4032	3832	3734	5716	2754	1108	240	158	213	131	286	0	0	0	0	0
ASV47	4623	3713	4877	5826	5168	1925	242	191	102	61	112	0	0	0	0	0	398
ASV48	3574	2834	2219	5092	5879	756	593	908	1370	1075	1619	1220	0	0	1686	36	171
ASV49	1319	988	434	348	354	161	262	638	1214	1866	895	864	3977	12792	4529	401	1618
ASV50	0	0	0	0	0	0	3139	4835	5372	4796	5984	3835	0	0	2321	171	755
ASV51	1366	1225	571	1412	1310	110	1262	1651	3030	2017	1685	3023	0	2278	1395	239	4214
ASV52	6000	3118	2133	3255	2408	6050	217	37	0	177	52	0	0	0	0	0	0
ASV53	11	0	6	4	0	0	402	429	1008	1927	1197	1009	628	0	11760	1299	3574
ASV54	1283	2633	6291	4044	6708	1155	29	197	0	0	17	0	0	0	1282	0	163
ASV55	0	0	0	0	0	0	1119	3981	5441	3571	9942	4280	0	0	1865	29	775
ASV56	280	161	153	171	194	46	2575	3127	3909	6438	2117	3330	0	0	497	602	970
ASV57	1491	1268	786	480	239	402	629	1202	1725	1667	720	3190	11672	0	1130	0	3278
ASV58	3540	3766	5650	2798	3737	1158	996	0	57	216	106	0	0	0	0	0	0
ASV59	1441	889	529	839	621	288	1007	1258	2445	3107	1179	1027	0	5068	5903	77	2110
ASV60	4481	4674	3334	1903	4573	1460	1455	190	0	0	0	0	0	0	0	0	0
ASV61	4127	4266	4765	3160	2988	1136	803	84	0	161	180	0	0	0	0	0	0
